1;phihung209.eth;$25,284,762.59
2;0x3924...B86e;$24,605,709.25
3;0xb043...c16c;$24,176,302.27
4;0xd38c...8D02;$22,867,829.46
5;0xDf51...0091;$22,488,764.11
6;comfycapital/;$19,728,146.39
7;0xcA57...6Ed8;$13,958,276.41
8;0x9484...8AE9;$13,886,323.43
9;0xFD61...E6DB;$13,546,439.43
10;0x876f...001d;$13,265,059.30
11;0x7E9C...C062;$12,077,200.04
12;0x47E8...4603;$8,849,064.91
13;0x8bd4...653F;$8,811,080.62
14;0x4103...8497;$8,795,226.09
15;0x58c6...2517;$8,772,319.42
16;0xd8c6...23e8;$8,631,199.03
17;0x7a7d...853b;$7,724,766.95
18;0x91fa...6D89;$5,712,790.44
19;0xe29E...e67F;$5,542,651.07
20;0xEa11...035a;$5,313,710.13
21;0xE198...Ab93;$5,260,234.40
22;0xBc80...7b3a;$4,459,483.27
23;screaminvoid/;$4,445,470.26
24;0xAC18...2A92;$4,389,641.92
25;0xC52B...De56;$3,749,649.62
26;0x8F44...129E;$3,242,061.90
27;fishfishcat.eth;$2,964,209.62
28;0xe896...9Bf2;$2,710,087.05
29;0x37DC...74F7;$2,571,778.77
30;0x1634...1dDC;$2,188,770.19
31;wpnforever.eth;$1,530,305.65
32;0xb159...3180;$1,043,828.89
33;itachi0x.eth;$1,005,108.25
34;drzcrypto.eth;$819,745.45
35;0x9460...B81F;$801,037.26
36;0x6100...aAD5;$797,523.19
37;0x05d1...BE6F;$795,372.45
38;0xEAd5...4021;$795,132.67
39;0xD836...d54C;$792,669.56
40;0x1337xanax/;$792,473.69
41;0xF18d...235a;$791,007.90
42;0xBb38...97A7;$790,506.85
43;0xDfE8...30A5;$789,983.56
44;0x13e0...E7e9;$789,141.07
45;0x6bFA...669d;$786,427.55
46;0xc1B1...98B8;$770,262.47
47;0xc827...d272;$692,424.29
48;0xD8C1...85E7;$521,600.64
49;26868.eth;$516,600.09
50;0x1e19...C244;$492,771.91
51;amresh.eth;$468,520.87
52;satworld222.eth;$431,253.48
53;wagmimeow.eth;$419,978.71
54;0xEB89...C274;$410,909.72
55;0x7E1f...4990;$405,458.01
56;0x0de6...D8E4;$404,568.59
57;0x2998...29E5;$403,400.67
58;0x08e8...eFe5;$403,345.29
59;0xe084...Bfd0;$403,111.27
60;0x724b...67dD;$403,024.55
61;0x1bF1...67b8;$401,862.84
62;0x61AE...F1aC;$400,775.29
63;0xAfB8...4317;$398,783.93
64;0xac57...2224;$398,471.91
65;0xf784...4070;$395,750.61
66;0x67b0...8342;$368,639.21
67;0xf050...a752;$359,496.99
68;0xD37d...a867;$352,560.95
69;rgalet.eth;$343,857.36
70;0xa2d8...76f2;$343,571.91
71;0x2861...Bc65;$338,262.61
72;kilicislam.eth;$336,373.82
73;0x4011...4FAD;$334,603.04
74;patou78.eth;$332,913.03
75;0x1b77...0BfE;$320,946.57
76;0x95fC...5e6A;$319,737.07
77;0x0e6d...2f92;$313,195.59
78;0x5EC0...860F;$304,756.92
79;0x919d...31e4;$303,784.89
80;0xeD5d...053e;$301,866.41
81;ylyana.eth;$301,569.23
82;0x5dbE...6704;$300,793.10
83;0x337B...F068;$300,263.28
84;0x7661...7527;$289,013.59
85;0x4641...8301;$283,653.19
86;0x8dC5...950d;$282,957.19
87;0x7AE8...e534;$281,757.10
88;0x346c...9a26;$280,087.37
89;0xde22...2ca4;$278,833.86
90;0xDa76...3C02;$278,150.78
91;0x4806...E7c3;$276,939.49
92;0x273c...baBC;$275,497.63
93;0x87d8...cC4e;$275,234.89
94;0x6f9e...Bb20;$270,336.84
95;0xdCF9...A2B5;$269,140.75
96;0x7ecF...08A2;$267,324.49
97;0xFCE4...FE0a;$267,140.19
98;0x46D9...1cD5;$266,635.23
99;0xb47e...b9C9;$266,453.22
100;0x100D...2a0E;$265,653.13
